ਦੇ	159084
ਵਿੱਚ	153498
ਅਤੇ	116402
ਦੀ	113930
ਦਾ	86400
ਨੂੰ	85812
ਹੈ	63765
ਤੋਂ	56053
ਇੱਕ	54735
ਨੇ	48464
ਤੇ	45543
ਇਸ	43536
ਨਾਲ	41003
ਲਈ	38699
ਇਹ	33044
ਵੀ	32700
ਉਸ	30582
ਉਹ	26760
ਕਿ	24870
ਸੀ	23783
ਕੀਤਾ	21319
ਜਾਂਦਾ	20833
ਹਨ	20467
ਜੋ	19217
ਗਿਆ	18813
ਹੀ	17096
ਕਰਨ	16618
ਕੇ	16183
ਵਿਚ	16135
ਦੀਆਂ	15294
ਕੀਤੀ	14470
ਨਹੀਂ	14330
ਆਪਣੇ	14165
ਜਾਂ	14161
ਹੋ	14002
ਜਿਸ	13560
ਕਰ	12959
ਬਾਅਦ	12578
ਤੌਰ	11828
ਦੁਆਰਾ	10911
ਸਿੰਘ	10201
ਬਹੁਤ	10110
ਉਸਨੇ	10094
ਸਭ	9984
ਹੁੰਦਾ	9924
ਉੱਤੇ	9404
ਪਰ	9237
ਹੋਇਆ	9147
ਆਪਣੀ	9026
ਸਾਲ	8633
ਗਈ	8575
ਕੰਮ	8566
ਵਜੋਂ	8529
ਉਨ੍ਹਾਂ	8518
ਤੱਕ	8200
ਸਮੇਂ	8181
ਹੋਰ	7981
ਰੂਪ	7910
ਤਾਂ	7771
ਦਿੱਤਾ	7613
ਕਈ	7518
ਜਾ	7364
ਵਾਲੇ	7242
ਉਹਨਾਂ	7198
ਪੰਜਾਬੀ	7146
ਕਿਸੇ	7110
ਭਾਰਤ	7003
ਦੋ	6901
ਪਿੰਡ	6849
ਕਰਦਾ	6840
ਹੋਣ	6704
ਲੋਕ	6670
ਜਾਂਦੀ	6622
ਜਦੋਂ	6562
ਕਿਹਾ	6265
ਕਰਦੇ	6019
ਸ਼ੁਰੂ	6015
ਕੁਝ	5987
ਹੁੰਦੀ	5984
ਜਨਮ	5940
ਨਾਮ	5860
ਪਹਿਲਾਂ	5826
ਸਾਰੇ	5664
ਭਾਰਤੀ	5502
ਹੋਏ	5399
ਹੁੰਦੇ	5380
ਕੋਈ	5229
ਸਕਦਾ	5223
ਪ੍ਰਾਪਤ	5187
ਸਨ	5177
ਕਾਰਨ	5140
ਆਮ	5011
ਗਏ	4988
ਸ਼ਾਮਲ	4975
ਬਾਰੇ	4956
ਵਿੱਚੋਂ	4877
ਲੋਕਾਂ	4858
ਹੋਈ	4822
ਰਾਜ	4756
ਜੀ	4749
ਇਕ	4697
ਮੁੱਖ	4688
ਸਾਹਿਤ	4671
ਕਰਕੇ	4654
ਤਰ੍ਹਾਂ	4630
ਵਾਰ	4603
ਜਾਂਦੇ	4573
ਪੰਜਾਬ	4545
ਰਿਹਾ	4545
ਅਨੁਸਾਰ	4532
ਚ	4452
ਇਨ੍ਹਾਂ	4316
ਖੇਤਰ	4256
ਦੌਰਾਨ	4252
ਸਕੂਲ	4244
ਪਹਿਲੀ	4200
ਜਿਵੇਂ	4183
ਕੀਤੇ	4116
ਭਾਸ਼ਾ	4067
ਵਾਲੀ	4065
ਨਾ	4056
ਉਸਨੂੰ	4007
ਵੱਧ	3909
ਜਾਣ	3904
ਵਾਲਾ	3855
ਗੁਰੂ	3853
ਸ਼ਹਿਰ	3851
ਇਹਨਾਂ	3775
ਯੂਨੀਵਰਸਿਟੀ	3771
ਵਿਆਹ	3756
ਸ਼ਬਦ	3729
ਫਿਲਮ	3666
ਲਿਆ	3643
ਬਣ	3594
ਕਰਦੀ	3593
ਤਿੰਨ	3585
ਘਰ	3575
ਜੀਵਨ	3553
ਦਿਨ	3534
ਵਿਖੇ	3486
ਪਿਤਾ	3481
ਉਸਦੇ	3450
